row,merchant_id,merchant_name,segmentation
855,,,T20
856,,,T20
857,,,T20
858,,,T20
859,,,T20
860,,,T20
861,,,T20
862,,,T20
863,,,T20
864,,,T20
865,,,T20
866,,,No
867,,,T20
868,,,No
869,,,T20
870,,,T20
871,,,T20
872,,,T20
873,,,T20
874,,,T20
875,,,T20
876,,,No
877,,,T20
878,,,No
879,,,No
880,,,T20
881,,,T20
882,,,T20
883,,,T20
884,,,No
885,,,T20
886,,,T20
887,,,T20
888,,,No
889,,,T20
890,,,T20
891,,,No
892,,,T20
893,,,T20
894,,,T20
895,,,T20
896,,,T20
897,,,No
898,,,T20
899,,,T20 (T3 - A1)
900,,,T20
901,,,No
902,,,T20
903,,,T20
904,,,T20
905,,,T20
906,,,T20
907,,,T20
908,,,T20
909,,,T20
910,,,No
911,,,T20
912,,,T20
913,,,T20
914,,,T20
915,,,T20
916,,,T20
917,,,No
918,,,T20
919,,,No
920,,,T20
921,,,T20
922,,,T20
923,,,T20
924,,,No
925,,,T20
926,,,T20
927,,,T20
928,,,T20
929,,,No
930,,,T20
931,,,No
932,,,T20
933,,,T20
934,,,No
935,,,No
936,,,No
937,,,T20
938,,,No
939,,,T20
940,,,T20
941,,,T20
942,,,T20
943,,,T20
944,,,T20
945,,,No
946,,,No
947,,,T20
948,,,T20
949,,,T20
950,,,No
951,,,T20
952,,,No
953,,,No
954,,,No
955,,,T20
956,,,T20
957,,,No
958,,,T20
959,,,No
960,,,T20
961,,,T20
962,,,T20
963,,,T20
964,,,T20
965,,,T20
966,,,T20
967,,,T20
968,,,No
969,,,T20
970,,,T20
971,,,T20
972,,,No
973,,,T20
974,,,T20
975,,,T20
976,,,T20
977,,,T20
978,,,T20
979,,,T20
980,,,T20
981,,,T20
982,,,T20
983,,,T20
984,,,No
985,,,No
986,,,T20
987,,,T20
988,,,T20
989,,,No
990,,,T20
991,,,T20
992,,,T20
993,,,No
994,,,T20
995,,,T20
996,,,T20
997,,,No
998,,,T20
999,,,No
1000,,,T20
1001,,,T20
1002,,,T20
1003,,,No
1004,,,No
1005,,,T20
1006,,,T20
1007,,,T20
1008,,,No
1009,,,T20
1010,,,T20
1011,,,No
1012,,,No
1013,,,T20
1014,,,T20 (T3 - A1)
1015,,,T20
1016,,,T20
1017,,,No
1018,,,No
1019,,,T20
1020,,,T20
1021,,,T20
1022,,,T20
1023,,,T20
1024,,,T20
1025,,,No
1026,,,T20
1027,,,No
1028,,,T20
1029,,,T20
1030,,,T20
1031,,,T20
1032,,,T20
1033,,,No
1034,,,T20
1035,,,T20
1036,,,T20
1037,,,No
1038,,,No
1039,,,T20
1040,,,T20
1041,,,T20
1042,,,No
1043,,,T20
1044,,,T20
1045,,,No
1046,,,T20
1047,,,T20
1048,,,T20
1049,,,T20
1050,,,T20
1051,,,T20
1052,,,T20
1053,,,T20
1054,,,No
1055,,,No
1056,,,T20
1057,,,No
1058,,,T20
1059,,,No
1060,,,T20
1061,,,T20
1062,,,No
1063,,,T20
1064,,,T20
1065,,,T20
1066,,,T20
1067,,,T20
1068,,,No
1069,,,T20
1070,,,T20
1071,,,T20
1072,,,T20
1073,,,T20
1074,,,No
1075,,,T20
1076,,,T20
1077,,,T20
1078,,,T20
1079,,,No
1080,,,T20
1081,,,T20
1082,,,T20
1083,,,T20
1084,,,T20
1085,,,No
1086,,,T20
1087,,,T20
1088,,,T20
1089,,,T20
1090,,,No
1091,,,T20
1092,,,T20
1093,,,No
1094,,,No
1095,,,No
1096,,,T20
1097,,,T20
1098,,,No
1099,,,T20
1100,,,No
1101,,,T20
1102,,,T20
1103,,,No
1104,,,T20
1105,,,T20
1106,,,T20
1107,,,T20
1108,,,T20
1109,,,T20
1110,,,T20
1111,,,No
1112,,,T20
1113,,,T20
1114,,,No
1115,,,T20
1116,,,T20
1117,,,T20
1118,,,T20
1119,,,T20
1120,,,T20
1121,,,No
1122,,,T20
1123,,,No
1124,,,No
1125,,,T20
1126,,,T20
1127,,,No
1128,,,T20
1129,,,T20
1130,,,T20
1131,,,T20
1132,,,T20
1133,,,No
1134,,,T20
1135,,,T20
1136,,,T20
1137,,,T20
1138,,,T20
1139,,,No
1140,,,No
1141,,,T20
1142,,,No
1143,,,T20
1144,,,No
1145,,,No
1146,,,No
1147,,,T20
1148,,,No
1149,,,T20
1150,,,No
1151,,,T20
1152,,,T20
1153,,,T20
1154,,,No
1155,,,T20
1156,,,T20
1157,,,T20
